"Step","layer_12_rank_16_sae_from_scratch_trainer_80_kl_0_k_80 - val_loss","layer_12_rank_16_sae_from_scratch_trainer_80_kl_0_k_80 - val_loss__MIN","layer_12_rank_16_sae_from_scratch_trainer_80_kl_0_k_80 - val_loss__MAX","layer_12_rank_16_sae_from_scratch_trainer_40_kl_0_k_40 - val_loss","layer_12_rank_16_sae_from_scratch_trainer_40_kl_0_k_40 - val_loss__MIN","layer_12_rank_16_sae_from_scratch_trainer_40_kl_0_k_40 - val_loss__MAX","layer_12_rank_16_sae_from_scratch_trainer_160_kl_0_k_160 - val_loss","layer_12_rank_16_sae_from_scratch_trainer_160_kl_0_k_160 - val_loss__MIN","layer_12_rank_16_sae_from_scratch_trainer_160_kl_0_k_160 - val_loss__MAX","layer_12_rank_16_sae_from_scratch_trainer_20_kl_0_k_20 - val_loss","layer_12_rank_16_sae_from_scratch_trainer_20_kl_0_k_20 - val_loss__MIN","layer_12_rank_16_sae_from_scratch_trainer_20_kl_0_k_20 - val_loss__MAX","layer_12_rank_16_sae_from_scratch_trainer_80_kl_95_k_80 - val_loss","layer_12_rank_16_sae_from_scratch_trainer_80_kl_95_k_80 - val_loss__MIN","layer_12_rank_16_sae_from_scratch_trainer_80_kl_95_k_80 - val_loss__MAX","layer_12_rank_16_sae_from_scratch_trainer_160_kl_95_k_160 - val_loss","layer_12_rank_16_sae_from_scratch_trainer_160_kl_95_k_160 - val_loss__MIN","layer_12_rank_16_sae_from_scratch_trainer_160_kl_95_k_160 - val_loss__MAX","layer_12_rank_16_sae_from_scratch_trainer_40_kl_95_k_40 - val_loss","layer_12_rank_16_sae_from_scratch_trainer_40_kl_95_k_40 - val_loss__MIN","layer_12_rank_16_sae_from_scratch_trainer_40_kl_95_k_40 - val_loss__MAX","layer_12_rank_16_sae_from_scratch_trainer_20_kl_95_k_20 - val_loss","layer_12_rank_16_sae_from_scratch_trainer_20_kl_95_k_20 - val_loss__MIN","layer_12_rank_16_sae_from_scratch_trainer_20_kl_95_k_20 - val_loss__MAX"
"199999","2.1552912665792228","2.1552912665792228","2.1552912665792228","2.1759285322841384","2.1759285322841384","2.1759285322841384","2.138507841095832","2.138507841095832","2.138507841095832","2.217812642805896","2.217812642805896","2.217812642805896","2.1522657719946934","2.1522657719946934","2.1522657719946934","2.1260270064233393","2.1260270064233393","2.1260270064233393","2.1920865972125054","2.1920865972125054","2.1920865972125054","2.33690252622538","2.33690252622538","2.33690252622538"
"209999","2.152446494497809","2.152446494497809","2.152446494497809","2.17166205539064","2.17166205539064","2.17166205539064","2.137093889127612","2.137093889127612","2.137093889127612","2.213958018237273","2.213958018237273","2.213958018237273","2.1513405496839857","2.1513405496839857","2.1513405496839857","2.1252769762259303","2.1252769762259303","2.1252769762259303","2.190525992225356","2.190525992225356","2.190525992225356","2.3334849230037618","2.3334849230037618","2.3334849230037618"
"219999","2.14893938538484","2.14893938538484","2.14893938538484","2.167878651600655","2.167878651600655","2.167878651600655","2.1327151273631757","2.1327151273631757","2.1327151273631757","2.2051635881468363","2.2051635881468363","2.2051635881468363","2.1495376755173643","2.1495376755173643","2.1495376755173643","2.124884935246519","2.124884935246519","2.124884935246519","2.188205508212106","2.188205508212106","2.188205508212106","2.3255720103165265","2.3255720103165265","2.3255720103165265"
"229999","2.1469382400278425","2.1469382400278425","2.1469382400278425","2.1678152621829523","2.1678152621829523","2.1678152621829523","2.1346046089393944","2.1346046089393944","2.1346046089393944","2.2040043545232946","2.2040043545232946","2.2040043545232946","2.148054606808367","2.148054606808367","2.148054606808367","2.1224554621880474","2.1224554621880474","2.1224554621880474","2.187649636210048","2.187649636210048","2.187649636210048","2.3261997151582245","2.3261997151582245","2.3261997151582245"
"239999","2.1469499926057054","2.1469499926057054","2.1469499926057054","2.1665856623783815","2.1665856623783815","2.1665856623783815","2.1329782269933206","2.1329782269933206","2.1329782269933206","2.2037238658938705","2.2037238658938705","2.2037238658938705","2.1498634954923985","2.1498634954923985","2.1498634954923985","2.1237867124981133","2.1237867124981133","2.1237867124981133","2.1894070841028843","2.1894070841028843","2.1894070841028843","2.3254422391693326","2.3254422391693326","2.3254422391693326"
"249999","2.146419042757614","2.146419042757614","2.146419042757614","2.1621084345338777","2.1621084345338777","2.1621084345338777","2.1304061852067617","2.1304061852067617","2.1304061852067617","2.201633298409266","2.201633298409266","2.201633298409266","2.1481827234233535","2.1481827234233535","2.1481827234233535","2.123883633555019","2.123883633555019","2.123883633555019","2.1890923694126925","2.1890923694126925","2.1890923694126925","2.318430640405862","2.318430640405862","2.318430640405862"
"259999","2.1446741154091384","2.1446741154091384","2.1446741154091384","2.1609592508818256","2.1609592508818256","2.1609592508818256","2.1304518173819553","2.1304518173819553","2.1304518173819553","2.1986651603311698","2.1986651603311698","2.1986651603311698","2.149593690644755","2.149593690644755","2.149593690644755","2.1219397933358666","2.1219397933358666","2.1219397933358666","2.1856142556106057","2.1856142556106057","2.1856142556106057","2.3153891626558627","2.3153891626558627","2.3153891626558627"
"269999","2.1429929591738213","2.1429929591738213","2.1429929591738213","2.162665724815341","2.162665724815341","2.162665724815341","2.1325006815342724","2.1325006815342724","2.1325006815342724","2.201126205091467","2.201126205091467","2.201126205091467","2.149621289120482","2.149621289120482","2.149621289120482","2.1219651110340654","2.1219651110340654","2.1219651110340654","2.187060618931342","2.187060618931342","2.187060618931342","2.3155677608665206","2.3155677608665206","2.3155677608665206"
"279999","2.1431425718043453","2.1431425718043453","2.1431425718043453","2.161693390249108","2.161693390249108","2.161693390249108","2.1316137860472884","2.1316137860472884","2.1316137860472884","2.1993038141556625","2.1993038141556625","2.1993038141556625","2.1503779953736486","2.1503779953736486","2.1503779953736486","2.122819052900482","2.122819052900482","2.122819052900482","2.188441955689398","2.188441955689398","2.188441955689398","2.3161282227312654","2.3161282227312654","2.3161282227312654"
"289999","2.145222415180997","2.145222415180997","2.145222415180997","2.160020168355934","2.160020168355934","2.160020168355934","2.1287301622308266","2.1287301622308266","2.1287301622308266","2.199193470462196","2.199193470462196","2.199193470462196","2.1481754773104815","2.1481754773104815","2.1481754773104815","2.121434791000253","2.121434791000253","2.121434791000253","2.186472366599246","2.186472366599246","2.186472366599246","2.3174033910493645","2.3174033910493645","2.3174033910493645"
