"Step","layer_12_rank_16_sae_full_finetune - mse_loss","layer_12_rank_16_sae_full_finetune - mse_loss__MIN","layer_12_rank_16_sae_full_finetune - mse_loss__MAX","layer_12_rank_16_sae_full_finetune_kl_only - mse_loss","layer_12_rank_16_sae_full_finetune_kl_only - mse_loss__MIN","layer_12_rank_16_sae_full_finetune_kl_only - mse_loss__MAX"
"10700","1.68359375","1.515625","1.8515625","1.75","1.75","1.75"
"10800","1.8125","1.7578125","1.8671875","1.8359375","1.8359375","1.8359375"
"10900","1.63671875","1.5078125","1.765625","1.6953125","1.6953125","1.6953125"
"11000","1.5859375","1.46875","1.703125","1.625","1.625","1.625"
"11100","1.69921875","1.6328125","1.765625","1.703125","1.703125","1.703125"
"11200","1.7421875","1.625","1.859375","1.7421875","1.7421875","1.7421875"
"11300","1.76953125","1.6640625","1.875","1.7890625","1.7890625","1.7890625"
"11400","1.8046875","1.6796875","1.9296875","1.8203125","1.8203125","1.8203125"
"11500","1.55078125","1.5390625","1.5625","1.578125","1.578125","1.578125"
"11600","1.54296875","1.40625","1.6796875","1.640625","1.640625","1.640625"
"11700","1.58984375","1.4765625","1.703125","1.6875","1.6875","1.6875"
"11800","1.73046875","1.6015625","1.859375","1.7734375","1.7734375","1.7734375"
"11900","1.75390625","1.6484375","1.859375","1.765625","1.765625","1.765625"
"12000","1.89453125","1.7734375","2.015625","1.9453125","1.9453125","1.9453125"
"12100","1.0703125","0.9296875","1.2109375","1.2734375","1.2734375","1.2734375"
"12200","1.57421875","1.4765625","1.671875","1.65625","1.65625","1.65625"
"12300","1.5625","1.4453125","1.6796875","1.6328125","1.6328125","1.6328125"
"12400","1.671875","1.5078125","1.8359375","1.8046875","1.8046875","1.8046875"
"12500","1.8125","1.6796875","1.9453125","1.8984375","1.8984375","1.8984375"
"12600","1.7109375","1.6484375","1.7734375","1.7421875","1.7421875","1.7421875"
"12700","1.74609375","1.640625","1.8515625","1.7890625","1.7890625","1.7890625"
"12800","1.7890625","1.7109375","1.8671875","1.7890625","1.7890625","1.7890625"
"12900","1.59765625","1.4609375","1.734375","1.6328125","1.6328125","1.6328125"
"13000","1.61328125","1.5","1.7265625","1.6640625","1.6640625","1.6640625"
"13100","1.6875","1.6015625","1.7734375","1.765625","1.765625","1.765625"
"13200","1.984375","1.859375","2.109375","2.0625","2.0625","2.0625"
"13300","1.76171875","1.6484375","1.875","1.8671875","1.8671875","1.8671875"
"13400","1.75","1.609375","1.890625","1.8359375","1.8359375","1.8359375"
"13500","1.97265625","1.8515625","2.09375","2.0625","2.0625","2.0625"
"13600","1.58203125","1.4453125","1.71875","1.71875","1.71875","1.71875"
