"Step","layer_12_rank_16_sae_from_scratch_trainer_80_kl_0_k_80 - val_loss","layer_12_rank_16_sae_from_scratch_trainer_80_kl_0_k_80 - val_loss__MIN","layer_12_rank_16_sae_from_scratch_trainer_80_kl_0_k_80 - val_loss__MAX","layer_12_rank_16_sae_from_scratch_trainer_80_kl_95_k_80 - val_loss","layer_12_rank_16_sae_from_scratch_trainer_80_kl_95_k_80 - val_loss__MIN","layer_12_rank_16_sae_from_scratch_trainer_80_kl_95_k_80 - val_loss__MAX"
"129999","2.164166349227499","2.164166349227499","2.164166349227499","2.1589570357526213","2.1589570357526213","2.1589570357526213"
"139999","2.157942071145242","2.157942071145242","2.157942071145242","2.1572859850669226","2.1572859850669226","2.1572859850669226"
"149999","2.1604257761944035","2.1604257761944035","2.1604257761944035","2.157895347814599","2.157895347814599","2.157895347814599"
"159999","2.1626331123810343","2.1626331123810343","2.1626331123810343","2.1554856542250027","2.1554856542250027","2.1554856542250027"
"169999","2.15804205113448","2.15804205113448","2.15804205113448","2.151359674233863","2.151359674233863","2.151359674233863"
"179999","2.156924701822939","2.156924701822939","2.156924701822939","2.15026286101024","2.15026286101024","2.15026286101024"
"189999","2.153465234726942","2.153465234726942","2.153465234726942","2.149030091178088","2.149030091178088","2.149030091178088"
"199999","2.1552912665792228","2.1552912665792228","2.1552912665792228","2.1522657719946934","2.1522657719946934","2.1522657719946934"
"209999","2.152446494497809","2.152446494497809","2.152446494497809","2.1513405496839857","2.1513405496839857","2.1513405496839857"
"219999","2.14893938538484","2.14893938538484","2.14893938538484","2.1495376755173643","2.1495376755173643","2.1495376755173643"
"229999","2.1469382400278425","2.1469382400278425","2.1469382400278425","2.148054606808367","2.148054606808367","2.148054606808367"
"239999","2.1469499926057054","2.1469499926057054","2.1469499926057054","2.1498634954923985","2.1498634954923985","2.1498634954923985"
"249999","2.146419042757614","2.146419042757614","2.146419042757614","2.1481827234233535","2.1481827234233535","2.1481827234233535"
"259999","2.1446741154091384","2.1446741154091384","2.1446741154091384","2.149593690644755","2.149593690644755","2.149593690644755"
"269999","2.1429929591738213","2.1429929591738213","2.1429929591738213","2.149621289120482","2.149621289120482","2.149621289120482"
"279999","2.1431425718043453","2.1431425718043453","2.1431425718043453","2.1503779953736486","2.1503779953736486","2.1503779953736486"
"289999","2.145222415180997","2.145222415180997","2.145222415180997","2.1481754773104815","2.1481754773104815","2.1481754773104815"
"299999","2.138803087029999","2.138803087029999","2.138803087029999","2.1469300960933175","2.1469300960933175","2.1469300960933175"
"309999","2.139971949396504","2.139971949396504","2.139971949396504","2.1458045649308874","2.1458045649308874","2.1458045649308874"
"319999","2.139026603288758","2.139026603288758","2.139026603288758","2.147697801264184","2.147697801264184","2.147697801264184"
"329999","2.1396575689071766","2.1396575689071766","2.1396575689071766","2.1491924977900427","2.1491924977900427","2.1491924977900427"
"339999","2.1373607830174017","2.1373607830174017","2.1373607830174017","2.1464556517535125","2.1464556517535125","2.1464556517535125"
"349999","2.136975461104265","2.136975461104265","2.136975461104265","2.1461530186868862","2.1461530186868862","2.1461530186868862"
"359999","2.1378760858226333","2.1378760858226333","2.1378760858226333","2.1502967704403972","2.1502967704403972","2.1502967704403972"
"369999","2.13806481929372","2.13806481929372","2.13806481929372","2.1493894319329314","2.1493894319329314","2.1493894319329314"
"379999","2.1375190374673085","2.1375190374673085","2.1375190374673085","2.143063169205323","2.143063169205323","2.143063169205323"
"389999","2.1360799544543303","2.1360799544543303","2.1360799544543303","2.1456989384844456","2.1456989384844456","2.1456989384844456"
"399999","2.1338122601152807","2.1338122601152807","2.1338122601152807","2.145616794346299","2.145616794346299","2.145616794346299"
"409999","2.1342826525899015","2.1342826525899015","2.1342826525899015","2.1450414534967046","2.1450414534967046","2.1450414534967046"
"419999","2.1340018259466245","2.1340018259466245","2.1340018259466245","2.1463578096614766","2.1463578096614766","2.1463578096614766"
"429999","2.133990908657394","2.133990908657394","2.133990908657394","2.146961302388776","2.146961302388776","2.146961302388776"
"439999","2.1356856093008907","2.1356856093008907","2.1356856093008907","2.146963922613841","2.146963922613841","2.146963922613841"
"449999","2.134397036496058","2.134397036496058","2.134397036496058","2.146806906012698","2.146806906012698","2.146806906012698"
"459999","2.134755989027609","2.134755989027609","2.134755989027609","2.1432575848841986","2.1432575848841986","2.1432575848841986"
"469999","2.1330836970157","2.1330836970157","2.1330836970157","2.1448793935922175","2.1448793935922175","2.1448793935922175"
"475000","","","","2.142178890069407","2.142178890069407","2.142178890069407"
"477000","","","","2.12951162433063","2.12951162433063","2.12951162433063"
"479000","","","","2.1282410542332895","2.1282410542332895","2.1282410542332895"
"479999","2.1312207516469632","2.1312207516469632","2.1312207516469632","","",""
"481000","","","","2.126089873400535","2.126089873400535","2.126089873400535"
"483000","","","","2.1296852276781566","2.1296852276781566","2.1296852276781566"
"485000","","","","2.1279306874792554","2.1279306874792554","2.1279306874792554"
"487000","","","","2.1298502676318587","2.1298502676318587","2.1298502676318587"
"489000","","","","2.1276652679655665","2.1276652679655665","2.1276652679655665"
"489999","2.1310223231479113","2.1310223231479113","2.1310223231479113","","",""
"491000","","","","2.128378977917112","2.128378977917112","2.128378977917112"
"493000","","","","2.1297947541718107","2.1297947541718107","2.1297947541718107"
"495000","","","","2.1258786328617356","2.1258786328617356","2.1258786328617356"
"497000","","","","2.1274019020972745","2.1274019020972745","2.1274019020972745"
"499000","","","","2.1275075424229963","2.1275075424229963","2.1275075424229963"
"499999","2.1325538079411617","2.1325538079411617","2.1325538079411617","","",""
"500000","2.1325538079411617","2.1325538079411617","2.1325538079411617","2.125665755421991","2.125665755421991","2.125665755421991"
